"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"	"padjust"
"1"	"GO:0050851"	0.000753282570429508	9.79474119819189	213.689887505264	222	223	"antigen receptor-mediated signaling pathway"	0.0888873433106819
"2"	"GO:1902806"	0.00250696311887714	8.41040792985132	183.984118390182	191	192	"regulation of cell cycle G1/S phase transition"	0.293314684908625
"3"	"GO:0050852"	0.00315585696610377	8.14310213414634	178.234614690489	185	186	"T cell receptor signaling pathway"	0.366079408068038
"4"	"GO:0051051"	0.00377601846270077	2.4302291801162	428.338025627143	439	447	"negative regulation of transport"	0.434242123210588
"5"	"GO:0032984"	0.00422022198747764	3.27741171954964	288.433435601275	297	301	"protein-containing complex disassembly"	0.48110530657245
"6"	"GO:0032543"	0.00435202959592965	Inf	121.697828310173	127	127	"mitochondrial translation"	0.49177934434005
"7"	"GO:0060759"	0.00462203839579783	7.69804494096737	168.652108524334	175	176	"regulation of response to cytokine stimulus"	0.517668300329357
"8"	"GO:2000045"	0.00498694558165012	7.60910129474486	166.735607291103	173	174	"regulation of G1/S transition of mitotic cell cycle"	0.553550959563164
"9"	"GO:0044843"	0.00574315357838078	3.1650364403529	278.85092943512	287	291	"cell cycle G1/S phase transition"	0.631746893621886
"10"	"GO:0043122"	0.00601808161752141	4.62243145238247	203.149130722493	210	212	"regulation of I-kappaB kinase/NF-kappaB signaling"	0.655970896309834
"11"	"GO:0001959"	0.00625947143028267	7.34240578606776	160.986103591409	167	168	"regulation of cytokine-mediated signaling pathway"	0.676022914470529
"12"	"GO:0043632"	0.00735128508075881	1.94054987980769	557.70185887024	569	582	"modification-dependent macromolecule catabolic process"	0.786587503641192
"13"	"GO:0019538"	0.00758466709666012	1.22949786631879	5462.02851470854	5492	5700	"protein metabolic process"	0.803974712245973
"14"	"GO:0007249"	0.00771956579040155	3.53839452660207	233.81315045419	241	244	"I-kappaB kinase/NF-kappaB signaling"	0.810554407992163
"15"	"GO:0001816"	0.00791282995405387	1.81718115752259	642.986163749022	655	671	"cytokine production"	0.822934315221602
"16"	"GO:0043624"	0.00820642706328834	4.42179552390641	194.524875172953	201	203	"cellular protein complex disassembly"	0.845261987518699
"17"	"GO:0006464"	0.00873005464081067	1.25736355073256	3840.66847139505	3867	4008	"cellular protein modification process"	0.890465573362689
"18"	"GO:0036211"	0.00873005464081067	1.25736355073256	3840.66847139505	3867	4008	"protein modification process"	0.890465573362689
"19"	"GO:0019941"	0.00897305060079175	1.90873736842896	549.0776033207	560	573	"modification-dependent protein catabolic process"	0.897305060079175
"20"	"GO:0002757"	0.00930783702000008	2.06589057043073	457.085544125609	467	477	"immune response-activating signal transduction"	0.921475864980007
"21"	"GO:0045321"	0.00944153881285155	1.52858491202049	1080.90669554232	1096	1128	"leukocyte activation"	0.925270803659451
"22"	"GO:0002764"	0.00947607206551115	1.99968777981997	486.791313240691	497	508	"immune response-regulating signaling pathway"	0.925270803659451
"23"	"GO:0000082"	0.0101947212043791	2.95191877913288	260.644167719425	268	272	"G1/S transition of mitotic cell cycle"	0.978693235620397
"24"	"GO:0051047"	0.0106113739966341	2.31451153909707	358.385730614209	367	374	"positive regulation of secretion"	1
"25"	"GO:0006511"	0.010920528732521	1.87696209370029	540.45334777116	551	564	"ubiquitin-dependent protein catabolic process"	1
"26"	"GO:0002429"	0.0116254636957471	2.43330341496773	322.930457799435	331	337	"immune response-activating cell surface receptor signaling pathway"	1
"27"	"GO:0002768"	0.0123876774595907	2.27579467038614	352.636226914516	361	368	"immune response-regulating cell surface receptor signaling pathway"	1
"28"	"GO:0051603"	0.0124092881242526	1.75362022751046	621.904650183481	633	649	"proteolysis involved in cellular protein catabolic process"	1
"29"	"GO:0140053"	0.0127600943682562	6.49920790824409	142.779341875714	148	149	"mitochondrial gene expression"	1
"30"	"GO:0071216"	0.0127689161684317	4.13239311352519	182.067617156951	188	190	"cellular response to biotic stimulus"	1
"31"	"GO:1901564"	0.013828353093917	1.19689426029552	6408.78012392468	6437	6688	"organonitrogen compound metabolic process"	1
"32"	"GO:0050663"	0.0141254269913984	4.06567581300813	179.192865307105	185	187	"cytokine secretion"	1
"33"	"GO:0006415"	0.0144839656583757	Inf	94.8668110449377	99	99	"translational termination"	1
"34"	"GO:0070555"	0.0151054080686101	4.02121173631398	177.276364073874	183	185	"response to interleukin-1"	1
"35"	"GO:1990266"	0.0151189143139826	Inf	93.9085604283222	98	98	"neutrophil migration"	1
"36"	"GO:0022411"	0.0167144075984636	1.80648335947725	521.28833543885	531	544	"cellular component disassembly"	1
"37"	"GO:0006955"	0.0173498119724121	1.33126048919427	1822.59267280274	1840	1902	"immune response"	1
"38"	"GO:0044262"	0.0183187005905797	2.72814233786111	241.479155387114	248	252	"cellular carbohydrate metabolic process"	1
"39"	"GO:0070647"	0.0183810109601807	1.4739329208896	1013.82915237923	1027	1058	"protein modification by small protein conjugation or removal"	1
"40"	"GO:1901988"	0.0188535233627222	2.71696849891595	240.520904770499	247	251	"negative regulation of cell cycle phase transition"	1
"41"	"GO:0001775"	0.0196924341234123	1.41157388503244	1220.81128556819	1235	1274	"cell activation"	1
"42"	"GO:0002376"	0.0197635659068375	1.26344288185305	2612.19118089394	2632	2726	"immune system process"	1
"43"	"GO:0045087"	0.0200790118073018	1.52533775713338	847.093545088131	859	884	"innate immune response"	1
"44"	"GO:0002684"	0.0202375494694728	1.49166531647017	927.586596883836	940	968	"positive regulation of immune system process"	1
"45"	"GO:1903037"	0.0206140976380743	2.43870431893688	270.22667388558	277	282	"regulation of leukocyte cell-cell adhesion"	1
"46"	"GO:0043412"	0.0208637682265318	1.21209246830063	4017.94483546893	4041	4193	"macromolecule modification"	1
"47"	"GO:1903532"	0.021018733888977	2.14052033026951	332.51296396559	340	347	"positive regulation of secretion by cell"	1
"48"	"GO:0051050"	0.0211673958774	1.50779660323725	871.049810503519	883	909	"positive regulation of transport"	1
"49"	"GO:0035249"	0.0213080691910041	Inf	86.2425554953979	90	90	"synaptic transmission, glutamatergic"	1
"50"	"GO:2000379"	0.0213080691910041	Inf	86.2425554953979	90	90	"positive regulation of reactive oxygen species metabolic process"	1
"51"	"GO:0007159"	0.0224034102882642	2.24591947769314	298.974192384046	306	312	"leukocyte cell-cell adhesion"	1
"52"	"GO:0016311"	0.0227328837179456	1.88860073543642	419.713770077603	428	438	"dephosphorylation"	1
"53"	"GO:0006633"	0.0230102855291631	5.79071975691587	127.447332009866	132	133	"fatty acid biosynthetic process"	1
"54"	"GO:0030593"	0.0232160569085972	Inf	84.3260542621669	88	88	"neutrophil chemotaxis"	1
"55"	"GO:0045930"	0.0235789727374587	2.23095466666667	297.057691150815	304	310	"negative regulation of mitotic cell cycle"	1
"56"	"GO:0044267"	0.0240100228344784	1.1892067768746	4956.07218913554	4980	5172	"cellular protein metabolic process"	1
"57"	"GO:0032088"	0.0242330966443986	Inf	83.3678036455513	87	87	"negative regulation of NF-kappaB transcription factor activity"	1
"58"	"GO:0070126"	0.0242330966443986	Inf	83.3678036455513	87	87	"mitochondrial translational termination"	1
"59"	"GO:0006611"	0.0248247979011577	3.68809085717911	162.902604824641	168	170	"protein export from nucleus"	1
"60"	"GO:0042594"	0.0248247979011577	3.68809085717911	162.902604824641	168	170	"response to starvation"	1
"61"	"GO:0071219"	0.0248247979011577	3.68809085717911	162.902604824641	168	170	"cellular response to molecule of bacterial origin"	1
"62"	"GO:0016579"	0.0248799509345298	2.37601379398429	263.518919569271	270	275	"protein deubiquitination"	1
"63"	"GO:0001817"	0.0249785943946209	1.65000489172972	587.407627985322	597	613	"regulation of cytokine production"	1
"64"	"GO:0051048"	0.0259550933729819	2.95843665882453	196.441376406184	202	205	"negative regulation of secretion"	1
"65"	"GO:0070125"	0.0264025803143996	Inf	81.4513024123203	85	85	"mitochondrial translational elongation"	1
"66"	"GO:0032446"	0.0268848248726063	1.49159331919406	829.845033989051	841	866	"protein modification by small protein conjugation"	1
"67"	"GO:0050707"	0.027379308407541	3.62154275564578	160.027852974794	165	167	"regulation of cytokine secretion"	1
"68"	"GO:0002253"	0.0276159533284378	1.68804172312033	526.079588521927	535	549	"activation of immune response"	1
"69"	"GO:0051049"	0.0280004754070799	1.30837244577767	1682.68808277688	1698	1756	"regulation of transport"	1
"70"	"GO:0033554"	0.0288416271205598	1.29360747394348	1806.30241232028	1822	1885	"cellular response to stress"	1
"71"	"GO:0002758"	0.029170728162485	2.32232365145228	257.769415869578	264	269	"innate immune response-activating signal transduction"	1
"72"	"GO:0006903"	0.030025754780235	Inf	78.5765505624737	82	82	"vesicle targeting"	1
"73"	"GO:0031669"	0.0301464653300083	2.8842910416137	191.650123323107	197	200	"cellular response to nutrient levels"	1
"74"	"GO:0071347"	0.0301815027230884	3.55501997843597	157.153101124947	162	164	"cellular response to interleukin-1"	1
"75"	"GO:0002443"	0.0310874748449751	1.53976235803847	686.107441496721	696	716	"leukocyte mediated immunity"	1
"76"	"GO:0030308"	0.0311743466562649	3.53285134449518	156.194850508332	161	163	"negative regulation of cell growth"	1
"77"	"GO:0006998"	0.0313406130473655	Inf	77.6182999458582	81	81	"nuclear envelope organization"	1
"78"	"GO:0071222"	0.0321979812058233	3.51068552222715	155.236599891716	160	162	"cellular response to lipopolysaccharide"	1
"79"	"GO:0001818"	0.0331416971921903	2.49379059992358	221.355892438188	227	231	"negative regulation of cytokine production"	1
"80"	"GO:1901991"	0.0331416971921903	2.49379059992358	221.355892438188	227	231	"negative regulation of mitotic cell cycle phase transition"	1
"81"	"GO:0043123"	0.033253277530007	3.48852251109702	154.278349275101	159	161	"positive regulation of I-kappaB kinase/NF-kappaB signaling"	1
"82"	"GO:0006952"	0.03337943056954	1.31550221308712	1491.03795945377	1505	1556	"defense response"	1
"83"	"GO:0038061"	0.0342920037587874	5.30446609311741	116.906575227095	121	122	"NIK/NF-kappaB signaling"	1
"84"	"GO:1902807"	0.0342920037587874	5.30446609311741	116.906575227095	121	122	"negative regulation of cell cycle G1/S phase transition"	1
"85"	"GO:0010565"	0.0343411275881983	3.46636231057003	153.320098658485	158	160	"regulation of cellular ketone metabolic process"	1
"86"	"GO:0002220"	0.0355483351209551	5.26029476880258	115.948324610479	120	121	"innate immune response activating cell surface receptor signaling pathway"	1
"87"	"GO:0071496"	0.0370036449950612	2.09644356368131	279.809180051736	286	292	"cellular response to external stimulus"	1
"88"	"GO:0031100"	0.0372006225997326	Inf	73.785297479396	77	77	"animal organ regeneration"	1
"89"	"GO:0032612"	0.0372006225997326	Inf	73.785297479396	77	77	"interleukin-1 production"	1
"90"	"GO:2001257"	0.0378092382545441	3.39989856726258	150.445346808639	155	157	"regulation of cation channel activity"	1
"91"	"GO:0003333"	0.0388291618089809	Inf	72.8270468627805	76	76	"amino acid transmembrane transport"	1
"92"	"GO:0070646"	0.0388605787066066	2.08151699158411	277.892678818504	284	290	"protein modification by small protein removal"	1
