	name	description	page
1	ensembl_gene_id	Gene stable ID	feature_page
2	ensembl_gene_id_version	Gene stable ID version	feature_page
3	ensembl_transcript_id	Transcript stable ID	feature_page
4	ensembl_transcript_id_version	Transcript stable ID version	feature_page
5	ensembl_peptide_id	Protein stable ID	feature_page
6	ensembl_peptide_id_version	Protein stable ID version	feature_page
7	ensembl_exon_id	Exon stable ID	feature_page
8	description	Gene description	feature_page
9	chromosome_name	Chromosome/scaffold name	feature_page
10	start_position	Gene start (bp)	feature_page
11	end_position	Gene end (bp)	feature_page
12	strand	Strand	feature_page
13	band	Karyotype band	feature_page
14	transcript_start	Transcript start (bp)	feature_page
15	transcript_end	Transcript end (bp)	feature_page
16	transcription_start_site	Transcription start site (TSS)	feature_page
17	transcript_length	Transcript length (including UTRs and CDS)	feature_page
18	transcript_tsl	Transcript support level (TSL)	feature_page
19	transcript_gencode_basic	GENCODE basic annotation	feature_page
20	transcript_appris	APPRIS annotation	feature_page
21	external_gene_name	Gene name	feature_page
22	external_gene_source	Source of gene name	feature_page
23	external_transcript_name	Transcript name	feature_page
24	external_transcript_source_name	Source of transcript name	feature_page
25	transcript_count	Transcript count	feature_page
26	percentage_gene_gc_content	Gene % GC content	feature_page
27	gene_biotype	Gene type	feature_page
28	transcript_biotype	Transcript type	feature_page
29	source	Source (gene)	feature_page
30	transcript_source	Source (transcript)	feature_page
31	version	Version (gene)	feature_page
32	transcript_version	Version (transcript)	feature_page
33	phenotype_description	Phenotype description	feature_page
34	source_name	Source name	feature_page
35	study_external_id	Study external reference	feature_page
36	strain_name	Strain name	feature_page
37	strain_gender	Strain gender	feature_page
38	p_value	P value	feature_page
39	go_id	GO term accession	feature_page
40	name_1006	GO term name	feature_page
41	definition_1006	GO term definition	feature_page
42	go_linkage_type	GO term evidence code	feature_page
43	namespace_1003	GO domain	feature_page
44	goslim_goa_accession	GOSlim GOA Accession(s)	feature_page
45	goslim_goa_description	GOSlim GOA Description	feature_page
46	ccds	CCDS ID	feature_page
47	chembl	ChEMBL ID	feature_page
48	clone_based_ensembl_gene	Clone-based (Ensembl) gene ID	feature_page
49	clone_based_ensembl_transcript	Clone-based (Ensembl) transcript ID	feature_page
50	dbass3_name	DataBase of Aberrant 3' Splice Sites name	feature_page
51	dbass3_id	DataBase of Aberrant 3' Splice Sites ID	feature_page
52	dbass5_name	DataBase of Aberrant 5' Splice Sites name	feature_page
53	dbass5_id	DataBase of Aberrant 5' Splice Sites ID	feature_page
54	ens_hs_transcript	Ensembl Human Transcript ID	feature_page
55	ens_hs_translation	Ensembl Human Translation ID	feature_page
56	entrezgene_trans_name	EntrezGene transcript name ID	feature_page
57	embl	European Nucleotide Archive ID	feature_page
58	arrayexpress	Expression Atlas ID	feature_page
59	genedb	GeneDB ID	feature_page
60	ottp	Havana translation ID	feature_page
61	hgnc_id	HGNC ID	feature_page
62	hgnc_symbol	HGNC symbol	feature_page
63	hgnc_trans_name	HGNC transcript name ID	feature_page
64	hpa	Human Protein Atlas ID	feature_page
65	protein_id	INSDC protein ID	feature_page
66	kegg_enzyme	KEGG Pathway and Enzyme ID	feature_page
67	ens_lrg_gene	LRG display in Ensembl gene ID	feature_page
68	ens_lrg_transcript	LRG display in Ensembl transcript ID	feature_page
69	merops	MEROPS - the Peptidase Database ID	feature_page
70	mim_gene_description	MIM gene description	feature_page
71	mim_gene_accession	MIM gene accession	feature_page
72	mim_morbid_description	MIM morbid description	feature_page
73	mim_morbid_accession	MIM morbid accession	feature_page
74	mirbase_accession	miRBase accession	feature_page
75	mirbase_id	miRBase ID	feature_page
76	mirbase_trans_name	miRBase transcript name ID	feature_page
77	entrezgene	NCBI gene ID	feature_page
78	pdb	PDB ID	feature_page
79	reactome	Reactome ID	feature_page
80	reactome_gene	Reactome gene ID	feature_page
81	reactome_transcript	Reactome transcript ID	feature_page
82	refseq_mrna	RefSeq mRNA ID	feature_page
83	refseq_mrna_predicted	RefSeq mRNA predicted ID	feature_page
84	refseq_ncrna	RefSeq ncRNA ID	feature_page
85	refseq_ncrna_predicted	RefSeq ncRNA predicted ID	feature_page
86	refseq_peptide	RefSeq peptide ID	feature_page
87	refseq_peptide_predicted	RefSeq peptide predicted ID	feature_page
88	rfam	RFAM ID	feature_page
89	rfam_trans_name	RFAM transcript name ID	feature_page
90	rnacentral	RNAcentral ID	feature_page
91	ucsc	UCSC Stable ID	feature_page
92	uniparc	UniParc ID	feature_page
93	uniprot_gn	UniProtKB Gene Name ID	feature_page
94	uniprotswissprot	UniProtKB/Swiss-Prot ID	feature_page
95	uniprotsptrembl	UniProtKB/TrEMBL ID	feature_page
96	vega_translation	Vega translation ID	feature_page
97	wikigene_description	WikiGene description	feature_page
98	wikigene_name	WikiGene name	feature_page
99	wikigene_id	WikiGene ID	feature_page
100	affy_hc_g110	AFFY HC G110 probe	feature_page
101	affy_hg_focus	AFFY HG Focus probe	feature_page
102	affy_hg_u133a	AFFY HG U133A probe	feature_page
103	affy_hg_u133a_2	AFFY HG U133A 2 probe	feature_page
104	affy_hg_u133b	AFFY HG U133B probe	feature_page
105	affy_hg_u133_plus_2	AFFY HG U133 Plus 2 probe	feature_page
106	affy_hg_u95a	AFFY HG U95A probe	feature_page
107	affy_hg_u95av2	AFFY HG U95Av2 probe	feature_page
108	affy_hg_u95b	AFFY HG U95B probe	feature_page
109	affy_hg_u95c	AFFY HG U95C probe	feature_page
110	affy_hg_u95d	AFFY HG U95D probe	feature_page
111	affy_hg_u95e	AFFY HG U95E probe	feature_page
112	affy_hta_2_0	AFFY HTA 2 0 probe	feature_page
113	affy_huex_1_0_st_v2	AFFY HuEx 1 0 st v2 probe	feature_page
114	affy_hugenefl	AFFY HuGeneFL probe	feature_page
115	affy_hugene_1_0_st_v1	AFFY HuGene 1 0 st v1 probe	feature_page
116	affy_hugene_2_0_st_v1	AFFY HuGene 2 0 st v1 probe	feature_page
117	affy_primeview	AFFY PrimeView probe	feature_page
118	affy_u133_x3p	AFFY U133 X3P probe	feature_page
119	agilent_cgh_44b	AGILENT CGH 44b probe	feature_page
120	agilent_gpl6848	AGILENT GPL6848 probe	feature_page
121	agilent_sureprint_g3_ge_8x60k	AGILENT SurePrint G3 GE 8x60k probe	feature_page
122	agilent_sureprint_g3_ge_8x60k_v2	AGILENT SurePrint G3 GE 8x60k v2 probe	feature_page
123	agilent_wholegenome	AGILENT WholeGenome probe	feature_page
124	agilent_wholegenome_4x44k_v1	AGILENT WholeGenome 4x44k v1 probe	feature_page
125	agilent_wholegenome_4x44k_v2	AGILENT WholeGenome 4x44k v2 probe	feature_page
126	codelink_codelink	CODELINK CODELINK probe	feature_page
127	illumina_humanht_12_v3	ILLUMINA HumanHT 12 V3 probe	feature_page
128	illumina_humanht_12_v4	ILLUMINA HumanHT 12 V4 probe	feature_page
129	illumina_humanref_8_v3	ILLUMINA HumanRef 8 V3 probe	feature_page
130	illumina_humanwg_6_v1	ILLUMINA HumanWG 6 V1 probe	feature_page
131	illumina_humanwg_6_v2	ILLUMINA HumanWG 6 V2 probe	feature_page
132	illumina_humanwg_6_v3	ILLUMINA HumanWG 6 V3 probe	feature_page
133	phalanx_onearray	PHALANX OneArray probe	feature_page
134	family	Ensembl Protein Family ID(s)	feature_page
135	family_description	Ensembl Family Description	feature_page
136	gene3d	Gene3D ID	feature_page
137	gene3d_start	Gene3D start	feature_page
138	gene3d_end	Gene3D end	feature_page
139	hamap	HAMAP ID	feature_page
140	hamap_start	HAMAP start	feature_page
141	hamap_end	HAMAP end	feature_page
142	hmmpanther	hmmpanther ID	feature_page
143	hmmpanther_start	hmmpanther start	feature_page
144	hmmpanther_end	hmmpanther end	feature_page
145	pfam	Pfam domain ID	feature_page
